epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.802,1.93219,2.88296,1.95388,0.00489,0.65185,0.03775,0.00781,2.27586,3.6806,2.14451,0.000650407,0.000650407,0.000650407
2,299.55,1.83885,2.50831,1.84837,0.15136,0.18519,0.05535,0.01797,2.54251,3.74677,2.52043,0.00130403,0.00130403,0.00130403
3,437.922,1.84876,2.46138,1.9071,0.02399,0.11111,0.01462,0.00451,2.37022,23.0087,2.58681,0.00194446,0.00194446,0.00194446
4,589.048,1.8723,2.32623,1.93099,0.06886,0.20741,0.03294,0.01023,2.29102,8.31499,2.21081,0.0019406,0.0019406,0.0019406
5,729.549,1.9085,2.34879,1.97482,0.31743,0.2,0.1549,0.04899,2.35279,3.67416,2.4032,0.0019208,0.0019208,0.0019208
6,876.308,1.8338,2.18967,1.87995,0.18561,0.32593,0.18757,0.06106,2.27219,3.02901,2.25328,0.001901,0.001901,0.001901
7,1027.64,1.83581,2.13476,1.85384,0.73427,0.18424,0.24465,0.07784,2.38635,2.73205,2.31336,0.0018812,0.0018812,0.0018812
8,1172.03,1.8045,2.12636,1.87221,0.29907,0.32593,0.32422,0.12397,2.18132,2.34403,2.13363,0.0018614,0.0018614,0.0018614
9,1310.58,1.7377,2.02733,1.80001,0.60139,0.24444,0.34075,0.17534,2.08315,2.40167,1.94471,0.0018416,0.0018416,0.0018416
10,1450.57,1.7387,2.05244,1.81299,0.58537,0.3037,0.37417,0.19432,1.95989,2.17851,1.87882,0.0018218,0.0018218,0.0018218
11,1780.84,1.70505,1.96011,1.79096,0.33138,0.38519,0.34109,0.14377,2.19793,2.23556,2.04382,0.001802,0.001802,0.001802
